NOM_USUEL,LAT,LON,DEP,REGION
ORLEANS,47.990667,1.778167,45,Centre-Val de Loire
NANTES-BOUGUENAIS,47.15,-1.608833,44,Pays de la Loire
ST NAZAIRE-MONTOIR,47.313833,-2.1545,44,Pays de la Loire
LANGRES,47.843667,5.3375,52,Grand Est
ST-DIZIER,48.631333,4.903667,52,Grand Est
BESANCON,47.249,5.988833,25,Bourgogne-Franche-Comté
AUCH,43.689,0.601167,32,Occitanie
CAP-FERRET,44.630667,-1.252,33,Nouvelle-Aquitaine
BORDEAUX-MERIGNAC,44.830667,-0.691333,33,Nouvelle-Aquitaine
CAZAUX,44.534667,-1.132,33,Nouvelle-Aquitaine
